list_name,name,label,governorate,district,subdistrict,community,order
community,C1088,Shweihet Elbu Issa,,,SY020002,,
community,C1077,Shweihet Ellahib,,,SY020002,,
community,C1046,Tabara Elksheir,,,SY020002,,
community,C1066,Tal Ahmar (Tall Ed-daman),,,SY020002,,
community,C1071,Tal Aqareb,,,SY020002,,
community,C1060,Tal Hattabat Semaan,,,SY020002,,
community,C1062,Tal Hawasid - Hanuteh,,,SY020002,,
community,C1050,Tal Masih,,,SY020002,,
community,C1070,Tal Sabha,,,SY020002,,
community,C1058,Tall Ed-Daman,,,SY020002,,
community,C1078,Tarfawi (Tall Ed-daman),,,SY020002,,
community,C1095,Um Aj,,,SY020002,,
community,C1053,Um Elamad Qabli,,,SY020002,,
community,C1056,Um Elhoteh,,,SY020002,,
community,C1065,Um Elkaramel,,,SY020002,,
community,C1091,Um Gobar,,,SY020002,,
community,C1087,Um Graf,,,SY020002,,
community,C1064,Um Jrein (Tall Ed-daman),,,SY020002,,
community,C1084,Um Qrun - Um Jaran,,,SY020002,,
community,C1069,Um Tinet Simaan,,,SY020002,,
community,C1055,Um Tmakh Samaan,,,SY020002,,
community,C1096,Um Wadi,,,SY020002,,
community,C1103,Wadi Eldibis,,,SY020002,,
community,C1102,Wadi Elsonue,,,SY020002,,
community,C1093,Western Atshana,,,SY020002,,
community,C1131,Afrin (Haritan),,,SY020003,,
community,C1121,Andan,,,SY020003,,
community,C6331,Babis,,,SY020003,,
community,C1125,Bashkwi Samaan,,,SY020003,,
community,C1137,Fah,,,SY020003,,
community,C1130,Haritan,,,SY020003,,
community,C1127,Hayyan,,,SY020003,,
community,C1123,Jeb Ghabsheh,,,SY020003,,
community,C1135,Kafr Bssin,,,SY020003,,
community,C1134,Kafr Hamra,,,SY020003,,
community,C1136,Maaret Elartiq,,,SY020003,,
community,C1133,Muqbia,,,SY020003,,
community,C6332,Naqqarin,,,SY020003,,
community,C1129,Shamer,,,SY020003,,
community,C1128,Sheikh Zayat,,,SY020003,,
community,C1124,Sifa,,,SY020003,,
community,C6425,Tal Msebin,,,SY020003,,
community,C1126,Tamura,,,SY020003,,
community,C1122,Tiyara,,,SY020003,,
community,C1132,Yaqed Eladas,,,SY020003,,
community,C1144,Anjara,,,SY020004,,
community,C1142,Arhab,,,SY020004,,
community,C6756,Bala - Daret Azza,,,SY020004,,
community,C6682,Balenta,,,SY020004,,
community,C1145,Bishqatine,,,SY020004,,
community,C1147,Bsartun,,,SY020004,,
community,C1141,Bshantara,,,SY020004,,
community,C1139,Daret Azza,,,SY020004,,
community,C6766,Deir Samaan,,,SY020004,,
community,C1146,Hoteh,,,SY020004,,
community,C1140,Hur,,,SY020004,,
community,C1149,Kafrantin,,,SY020004,,
community,C1148,Majbineh,,,SY020004,,
community,C6764,Mashhad - Daret Azza,,,SY020004,,
community,C1150,Qabtan Eljabal,,,SY020004,,
community,C1143,Tqad,,,SY020004,,
community,C1138,Zarzita,,,SY020004,,
community,C1160,Abad,,,SY020005,,
community,C1164,Arada,,,SY020005,,
community,C1163,Banes,,,SY020005,,
community,C1153,Barqum,,,SY020005,,
community,C1169,Bawabiyeh,,,SY020005,,
community,C1154,Berna,,,SY020005,,
community,C1157,Big Othmaniya,,,SY020005,,
community,C1172,Hawir Elis,,,SY020005,,
community,C1152,Hmeira,,,SY020005,,
community,C1168,Jazraya,,,SY020005,,
community,C1166,Jeb Kas,,,SY020005,,
community,C1176,Kassibeh,,,SY020005,,
community,C1175,Kusniya,,,SY020005,,
community,C1174,Qamari,,,SY020005,,
community,C6392,Rasim Sahrij,,,SY020005,,
community,C1162,Rasm Eliss,,,SY020005,,
community,C1155,Sheikh Ahmed - Zarbah,,,SY020005,,
community,C1171,Tal Allush,,,SY020005,,
community,C1161,Tal Bajer,,,SY020005,,
community,C1158,Tal Heddiyeh,,,SY020005,,
community,C1173,Tal Mamu,,,SY020005,,
community,C1165,Talafeh,,,SY020005,,
community,C1159,Um Atba,,,SY020005,,
community,C1170,Zarbah,,,SY020005,,
community,C1167,Zeitan,,,SY020005,,
community,C1156,Zmar,,,SY020005,,
community,C1151,Zyare Semaan,,,SY020005,,
community,C1178,Dalama,,,SY020006,,
